"org"                   "1.3"
"dod"                   "1.3.6"
"internet"                      "1.3.6.1"
"directory"                     "1.3.6.1.1"
"mgmt"                  "1.3.6.1.2"
"mib-2"                 "1.3.6.1.2.1"
"transmission"                  "1.3.6.1.2.1.10"
"experimental"                  "1.3.6.1.3"
"private"                       "1.3.6.1.4"
"enterprises"                   "1.3.6.1.4.1"
"dseVendor"                     "1.3.6.1.4.1.41385"
"dseProduct"                    "1.3.6.1.4.1.41385.1"
"dseEventSection"                       "1.3.6.1.4.1.41385.1.1"
"eventEntry"                    "1.3.6.1.4.1.41385.1.1.1"
"dseEventEntry"                 "1.3.6.1.4.1.41385.1.1.1.1"
"eventType"                     "1.3.6.1.4.1.41385.1.1.1.1.1"
"eventSubtype"                  "1.3.6.1.4.1.41385.1.1.1.1.2"
"eventParameters"                       "1.3.6.1.4.1.41385.1.1.1.1.3"
"eventTimestamp"                        "1.3.6.1.4.1.41385.1.1.1.1.4"
"eventHoursRun"                 "1.3.6.1.4.1.41385.1.1.1.1.5"
"eventDescription"                      "1.3.6.1.4.1.41385.1.1.1.1.6"
"moduleID"                      "1.3.6.1.4.1.41385.1.1.1.1.7"
"moduleDescription"                     "1.3.6.1.4.1.41385.1.1.1.1.8"
"dseTraps"                      "1.3.6.1.4.1.41385.1.1.2"
"dseEventTrap"                  "1.3.6.1.4.1.41385.1.1.2.1"
"dseInstrumentsSection"                 "1.3.6.1.4.1.41385.1.3"
"instrumentTable"                       "1.3.6.1.4.1.41385.1.3.1"
"dseInstrumentEntry"                    "1.3.6.1.4.1.41385.1.3.1.1"
"gencomTask"                    "1.3.6.1.4.1.41385.1.3.1.1.1"
"oilPressure"                   "1.3.6.1.4.1.41385.1.3.1.1.2"
"coolantTemp"                   "1.3.6.1.4.1.41385.1.3.1.1.3"
"fuelLevel"                     "1.3.6.1.4.1.41385.1.3.1.1.4"
"batteryVolts"                  "1.3.6.1.4.1.41385.1.3.1.1.5"
"engineSpeed"                   "1.3.6.1.4.1.41385.1.3.1.1.6"
"genL1Volts"                    "1.3.6.1.4.1.41385.1.3.1.1.7"
"genL2Volts"                    "1.3.6.1.4.1.41385.1.3.1.1.8"
"genL3Volts"                    "1.3.6.1.4.1.41385.1.3.1.1.9"
"genL1Current"                  "1.3.6.1.4.1.41385.1.3.1.1.10"
"genL2Current"                  "1.3.6.1.4.1.41385.1.3.1.1.11"
"genL3Current"                  "1.3.6.1.4.1.41385.1.3.1.1.12"
"genL1Watts"                    "1.3.6.1.4.1.41385.1.3.1.1.13"
"genL2Watts"                    "1.3.6.1.4.1.41385.1.3.1.1.14"
"genL3Watts"                    "1.3.6.1.4.1.41385.1.3.1.1.15"
"oilTemp"                       "1.3.6.1.4.1.41385.1.3.1.1.16"
"altVolts"                      "1.3.6.1.4.1.41385.1.3.1.1.17"
"genFreq"                       "1.3.6.1.4.1.41385.1.3.1.1.18"
"genL1L2Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.19"
"genL2L3Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.20"
"genL3L1Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.21"
"genECurrent"                   "1.3.6.1.4.1.41385.1.3.1.1.22"
"mainsFreq"                     "1.3.6.1.4.1.41385.1.3.1.1.23"
"mainsL1Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.24"
"mainsL2Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.25"
"mainsL3Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.26"
"mainsL1L2Volts"                        "1.3.6.1.4.1.41385.1.3.1.1.27"
"mainsL2L3Volts"                        "1.3.6.1.4.1.41385.1.3.1.1.28"
"mainsL3L1Volts"                        "1.3.6.1.4.1.41385.1.3.1.1.29"
"mainsL1Current"                        "1.3.6.1.4.1.41385.1.3.1.1.30"
"mainsL2Current"                        "1.3.6.1.4.1.41385.1.3.1.1.31"
"mainsL3Current"                        "1.3.6.1.4.1.41385.1.3.1.1.32"
"mainsECurrent"                 "1.3.6.1.4.1.41385.1.3.1.1.33"
"mainsL1Watts"                  "1.3.6.1.4.1.41385.1.3.1.1.34"
"mainsL2Watts"                  "1.3.6.1.4.1.41385.1.3.1.1.35"
"mainsL3Watts"                  "1.3.6.1.4.1.41385.1.3.1.1.36"
"busFreq"                       "1.3.6.1.4.1.41385.1.3.1.1.37"
"busL1Volts"                    "1.3.6.1.4.1.41385.1.3.1.1.38"
"busL2Volts"                    "1.3.6.1.4.1.41385.1.3.1.1.39"
"busL3Volts"                    "1.3.6.1.4.1.41385.1.3.1.1.40"
"busL1L2Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.41"
"busL2L3Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.42"
"busL3L1Volts"                  "1.3.6.1.4.1.41385.1.3.1.1.43"
"busL1Current"                  "1.3.6.1.4.1.41385.1.3.1.1.44"
"busL2Current"                  "1.3.6.1.4.1.41385.1.3.1.1.45"
"busL3Current"                  "1.3.6.1.4.1.41385.1.3.1.1.46"
"busECurrent"                   "1.3.6.1.4.1.41385.1.3.1.1.47"
"busL1Watts"                    "1.3.6.1.4.1.41385.1.3.1.1.48"
"busL2Watts"                    "1.3.6.1.4.1.41385.1.3.1.1.49"
"busL3Watts"                    "1.3.6.1.4.1.41385.1.3.1.1.50"
"canLink"                       "1.3.6.1.4.1.41385.1.3.1.1.51"
"genWattsTotal"                 "1.3.6.1.4.1.41385.1.3.1.1.52"
"genL1VA"                       "1.3.6.1.4.1.41385.1.3.1.1.53"
"genL2VA"                       "1.3.6.1.4.1.41385.1.3.1.1.54"
"genL3VA"                       "1.3.6.1.4.1.41385.1.3.1.1.55"
"genTotalVA"                    "1.3.6.1.4.1.41385.1.3.1.1.56"
"genL1VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.57"
"genL2VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.58"
"genL3VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.59"
"genTotalVAr"                   "1.3.6.1.4.1.41385.1.3.1.1.60"
"genPowerFactorL1"                      "1.3.6.1.4.1.41385.1.3.1.1.61"
"genPowerFactorL2"                      "1.3.6.1.4.1.41385.1.3.1.1.62"
"genPowerFactorL3"                      "1.3.6.1.4.1.41385.1.3.1.1.63"
"genAvgPowerFactor"                     "1.3.6.1.4.1.41385.1.3.1.1.64"
"mainsTotalWatts"                       "1.3.6.1.4.1.41385.1.3.1.1.65"
"mainsL1VA"                     "1.3.6.1.4.1.41385.1.3.1.1.66"
"mainsL2VA"                     "1.3.6.1.4.1.41385.1.3.1.1.67"
"mainsL3VA"                     "1.3.6.1.4.1.41385.1.3.1.1.68"
"mainsTotalVA"                  "1.3.6.1.4.1.41385.1.3.1.1.69"
"mainsL1VAr"                    "1.3.6.1.4.1.41385.1.3.1.1.70"
"mainsL2VAr"                    "1.3.6.1.4.1.41385.1.3.1.1.71"
"mainsL3VAr"                    "1.3.6.1.4.1.41385.1.3.1.1.72"
"mainsTotalVAr"                 "1.3.6.1.4.1.41385.1.3.1.1.73"
"mainsPowerFactorL1"                    "1.3.6.1.4.1.41385.1.3.1.1.74"
"mainsPowerFactorL2"                    "1.3.6.1.4.1.41385.1.3.1.1.75"
"mainsPowerFactorL3"                    "1.3.6.1.4.1.41385.1.3.1.1.76"
"mainsAvgPowerFactor"                   "1.3.6.1.4.1.41385.1.3.1.1.77"
"busTotalWatts"                 "1.3.6.1.4.1.41385.1.3.1.1.78"
"busL1VA"                       "1.3.6.1.4.1.41385.1.3.1.1.79"
"busL2VA"                       "1.3.6.1.4.1.41385.1.3.1.1.80"
"busL3VA"                       "1.3.6.1.4.1.41385.1.3.1.1.81"
"busTotalVA"                    "1.3.6.1.4.1.41385.1.3.1.1.82"
"busL1VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.83"
"busL2VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.84"
"busL3VAr"                      "1.3.6.1.4.1.41385.1.3.1.1.85"
"busTotalVAr"                   "1.3.6.1.4.1.41385.1.3.1.1.86"
"busPowerFactorL1"                      "1.3.6.1.4.1.41385.1.3.1.1.87"
